user,w_R,w_I,ll_mean
3,0.9999995754650071,4.245349929671274e-07,-0.6931472159379514
5,0.7222222146219919,0.2777777853780081,-0.6540548103069317
6,0.6666666453668039,0.33333335463319613,-0.636514168294813
7,0.8333333594909815,0.16666664050901853,-0.6791932659915261
8,0.5070422485572548,0.4929577514427452,-0.5661705381625346
9,0.1111109781005194,0.8888890218994806,-0.2145591551764472
10,0.4999999956070663,0.5000000043929337,-0.5623351446188084
11,0.9999994233925701,5.766074299549032e-07,-0.6931472049238062
12,0.9999995754650071,4.245349929671078e-07,-0.6931472159379514
13,0.5277777725809025,0.47222222741909753,-0.5770853964823773
14,0.9999994636554488,5.363445511637444e-07,-0.6931472699508477
15,0.6478873112500936,0.3521126887499064,-0.6298064194363971
16,0.8333333594912085,0.1666666405087915,-0.679193265991526
17,0.5833332509196413,0.4166667490803587,-0.6036372515003302
18,0.5833332509192923,0.4166667490807076,-0.6036372515003303
20,0.25000002193614923,0.7499999780638508,-0.37677016125643736
22,0.5142857090144645,0.48571429098553554,-0.570047170501285
23,0.41666667498206456,0.5833333250179354,-0.5117400734174095
24,0.7605632606077397,0.23943673939226023,-0.664201859090332
25,0.9999994636554488,5.363445511637444e-07,-0.6931472699508477
26,0.8055554558401541,0.19444454415984597,-0.674121896176742
27,0.565217548005067,0.4347824519949331,-0.5954002839805487
28,0.30555554728952816,0.6944444527104718,-0.4274973174139156
29,0.8055554558401784,0.1944445441598216,-0.674121896176742
31,0.9166666574223206,0.08333334257767938,-0.6896709283570267
32,0.7222222146266071,0.2777777853733929,-0.6540548103069317
33,0.724637673721855,0.275362326278145,-0.6547407145377158
34,0.29166657969737053,0.7083334203026295,-0.4154129738607357
36,0.91666665742179,0.08333334257821004,-0.6896709283570268
37,0.9999994591058439,5.408941561769966e-07,-0.6931472106097671
38,0.8888888821007049,0.11111111789929502,-0.6869615765973234
39,0.5277777725808624,0.47222222741913755,-0.5770853964823771
40,0.6388888826834496,0.36111111731655043,-0.6264499860467337
41,0.6666666453668039,0.33333335463319613,-0.6365141682948132
42,0.6760563176458014,0.3239436823541985,-0.639718902270563
43,0.6666666453670472,0.33333335463295277,-0.6365141682948131
44,0.4999999956140724,0.5000000043859276,-0.5623351446188083
45,0.8732394314921821,0.12676056850781797,-0.6850914051596679
46,0.8611111072031978,0.13888889279680214,-0.6834708679894421
47,0.9999994591058439,5.408941561769966e-07,-0.6931472106097671
48,0.7323943603078454,0.26760563969215456,-0.6569006935452181
49,0.8169015754625519,0.18309842453744804,-0.6762896934144397
50,0.6388888826834831,0.3611111173165169,-0.626449986046734
51,0.8611111072053523,0.13888889279464767,-0.6834708679894421
52,0.6944443816037583,0.3055556183962417,-0.6457101064871996
53,0.5999999770988125,0.4000000229011875,-0.6108643020548935
54,0.9166666574239841,0.08333334257601592,-0.6896709283570268
55,0.676056317652098,0.3239436823479021,-0.6397189022705629
56,0.6478873112487844,0.3521126887512156,-0.6298064194363971
57,0.5555555523089073,0.4444444476910927,-0.5908422462755824
58,0.5833332509182598,0.41666674908174023,-0.6036372515003302
59,0.5277777725841343,0.4722222274158657,-0.5770853964823772
60,0.6376811540496669,0.36231884595033315,-0.6259924284486259
62,0.5555555523162168,0.44444444768378316,-0.5908422462755826
64,0.7777777660970531,0.22222223390294693,-0.6682484776645388
65,0.6666666453690895,0.33333335463091057,-0.6365141682948132
66,0.5833332509182599,0.41666674908174006,-0.6036372515003303
67,0.9999995282716126,4.7172838732458597e-07,-0.6931472508174761
69,0.9722221959856624,0.027777804014337597,-0.6927613284609754
70,0.6111111066190316,0.3888888933809684,-0.6154982822759129
71,0.5352112627602321,0.4647887372397679,-0.5808627788667152
72,0.9428571331074862,0.05714286689251381,-0.6915136378174997
73,0.999999466100207,5.338997930024802e-07,-0.6931472547128369
74,0.16666669675207335,0.8333333032479266,-0.28683598305616215
75,0.44444446552055816,0.5555555344794418,-0.5297061990576548
76,0.9999994233925701,5.76607429954891e-07,-0.6931472049238061
77,0.6388888826834496,0.36111111731655043,-0.6264499860467339
78,0.42253522300464985,0.5774647769953501,-0.515631317918759
80,0.8611111072073978,0.13888889279260222,-0.683470867989442
81,0.9444444347485812,0.05555556525141885,-0.6916031758694978
82,0.9999996387668789,3.6123312105813447e-07,-0.6931471805600106
83,0.9999994591058439,5.408941561770026e-07,-0.6931472106097671
84,0.19444443612998008,0.8055555638700199,-0.3189363469798942
85,0.5833332509192862,0.41666674908071377,-0.6036372515003303
86,0.8333333594909769,0.1666666405090232,-0.679193265991526
87,0.7499998525403857,0.25000014745961435,-0.6615632381579937
88,0.277777785558179,0.722222214441821,-0.40294135786694235
89,0.7499998525192579,0.2500001474807421,-0.6615632381579936
90,0.916666657422869,0.08333334257713103,-0.6896709283570268
91,0.7499998525234847,0.25000014747651533,-0.6615632381579937
92,0.9999993466896214,6.533103785840397e-07,-0.6931471900284253
93,0.9999995754650071,4.245349929671128e-07,-0.6931472159379513
94,0.4444444655192731,0.5555555344807269,-0.5297061990576549
96,0.6111111066190316,0.3888888933809684,-0.6154982822759129
97,0.7777777660970286,0.22222223390297138,-0.6682484776645387
99,0.7499998525403857,0.25000014745961435,-0.6615632381579937
100,0.6666666453679393,0.3333333546320607,-0.6365141682948131
101,0.9166666574239922,0.08333334257600782,-0.6896709283570267
103,0.5833332509187763,0.41666674908122364,-0.6036372515003302
105,0.9999994636554488,5.363445511637444e-07,-0.6931472699508477
106,0.499999995610088,0.500000004389912,-0.5623351446188084
107,0.7499998525192596,0.2500001474807404,-0.6615632381579936
108,0.4166666749813961,0.5833333250186039,-0.5117400734174093
110,0.7499998525403857,0.25000014745961435,-0.6615632381579937
111,0.8888888821006939,0.11111111789930606,-0.6869615765973234
112,0.5833332509189394,0.4166667490810606,-0.6036372515003303
113,0.7499998525403857,0.2500001474596143,-0.6615632381579937
114,0.5454545413376601,0.4545454586623399,-0.5859526183035509
115,0.788732359971385,0.211267640028615,-0.6706611269042893
116,0.535211262773408,0.46478873722659203,-0.5808627788667153
117,0.13888888140610045,0.8611111185938995,-0.2521995209415383
118,0.5277777725809025,0.4722222274190974,-0.5770853964823773
119,0.41791045680718963,0.5820895431928104,-0.512569126362965
120,0.36619717551162023,0.6338028244883798,-0.4760596480456494
122,0.8450704200371071,0.15492957996289286,-0.6810971138759453
123,0.5277777725841343,0.4722222274158657,-0.5770853964823773
124,0.5833332509175865,0.4166667490824135,-0.6036372515003303
125,0.9999996387668789,3.6123312105813447e-07,-0.6931471805600106
126,0.8333333594912119,0.16666664050878813,-0.679193265991526
127,0.7222222146219782,0.2777777853780218,-0.6540548103069317
128,0.9999993551218493,6.448781506156116e-07,-0.6931472522132811
129,0.3611110971149091,0.6388889028850909,-0.47223485738498006
130,0.7323943603120938,0.2676056396879062,-0.6569006935452183
131,0.7499998525234821,0.25000014747651794,-0.6615632381579937
132,0.5352112627503156,0.4647887372496844,-0.5808627788667159
133,0.7777777660970376,0.2222222339029624,-0.6682484776645388
134,0.5555555523089141,0.44444444769108593,-0.5908422462755827
135,0.38888877904052443,0.6111112209594756,-0.49260365753959356
136,0.27777778555626154,0.7222222144437385,-0.4029413578669424
137,0.749999852519259,0.2500001474807409,-0.6615632381579936
138,0.6111111066152164,0.38888889338478366,-0.615498282275913
139,0.6944443816041515,0.3055556183958485,-0.6457101064871995
140,0.9999994636554488,5.363445511637444e-07,-0.6931473295446868
142,0.9999994636554488,5.363445511637444e-07,-0.6931473444431465
143,0.5833332509192912,0.41666674908070883,-0.6036372515003303
144,0.9999994636554488,5.363445511637444e-07,-0.693147364678368
146,0.5217391251082157,0.4782608748917843,-0.5739644913933234
147,0.9999995754650071,4.245349929671078e-07,-0.6931472159379514
148,0.6111111066190363,0.38888889338096366,-0.615498282275913
149,0.7777777660988248,0.22222223390117526,-0.6682484776645388
150,0.7222222146219782,0.2777777853780218,-0.6540548103069317
151,0.27777778555787813,0.7222222144421219,-0.4029413578669425
152,0.6388888826834496,0.36111111731655043,-0.6264499860467337
153,0.9999993551218493,6.448781506156194e-07,-0.6931472522132811
154,0.5633804275102059,0.43661957248979405,-0.5945425145058295
155,0.9722221959853444,0.027777804014655558,-0.6927613284609754
156,0.3333333077359777,0.6666666922640223,-0.4505612088663053
157,0.9999996387668789,3.6123312105813447e-07,-0.6931471805600106
158,0.16666669675193813,0.8333333032480619,-0.28683598305616215
159,0.7826086757101322,0.21739132428986785,-0.6693279632926459
160,0.9999995754650071,4.245349929671128e-07,-0.6931472159379513
162,0.9999995754650071,4.2453499296712274e-07,-0.6931472159379513
163,0.9166666574228645,0.08333334257713552,-0.6896709283570268
164,0.3333333077350634,0.6666666922649366,-0.4505612088663052
166,0.888888882100693,0.11111111789930701,-0.6869615765973233
167,0.5217391250952804,0.4782608749047196,-0.5739644913933233
168,0.37499999861573496,0.625000001384265,-0.48257756517701195
169,0.704225349805745,0.295774650194255,-0.6487446677426764
171,0.9855072271973305,0.014492772802669422,-0.6930421569294485
172,0.49999999561013286,0.5000000043898671,-0.5623351446188083
173,0.5555555523162139,0.44444444768378616,-0.5908422462755826
174,0.8611111072074115,0.13888889279258854,-0.683470867989442
