User_ID,phenotype_kmeans,phi_star,note,n,match_rate_phi_star,H_Dphi,H_Dphi|g,H_Dphi|TS_quad,I_Dphi;g,I_Dphi;T,I_Dphi;S,I_Dphi;S-T,I_Dphi;TS_quad
2,Envious,Envious,assigned rule,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Trustful,Trustful,assigned rule,14,0.9285714285714286,0.4227571495297672,0.30935628534866383,0.30935628534866383,0.11340086418110334,0.4227571495297672,0.22837518378373275,0.4227571495297672,0.11340086418110334
4,Pessimist,Pessimist,assigned rule,14,0.7142857142857143,0.9146453914555226,0.7449075048445608,0.8338441118328844,0.16973788661096179,0.4719609240946346,0.5258814599634538,0.5258814599634538,0.08080127962263817
6,Undefined,Envious,best-fit rule (Undefined),14,0.8571428571428571,0.6431976014712191,0.5037382510946983,0.5037382510946983,0.1394593503765208,0.20051313411033106,0.4488156357251847,0.3948950998563655,0.1394593503765208
7,Envious,Envious,assigned rule,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Optimist,Optimist,assigned rule,14,0.7142857142857143,0.9146453914555226,0.8338441118328844,0.8948978955666946,0.08080127962263817,0.2425628872290957,0.27757895834860014,0.9146453914555226,0.01974749588882796
9,Envious,Envious,assigned rule,14,0.8571428571428571,0.6431976014712191,0.5666371454687161,0.5666371454687161,0.07656045600250294,0.14659259824151188,0.6431976014712191,0.20051313411033106,0.07656045600250294
10,Optimist,Optimist,assigned rule,14,0.7142857142857143,0.9146453914555226,0.6720825042264269,1.03535932544391,0.2425628872290957,0.6313268187211645,0.08319699260256574,0.4719609240946346,-0.12071393398838737
11,Undefined,Envious,best-fit rule (Undefined),14,0.7142857142857143,0.9146453914555226,0.5037382510946983,0.7751860410790018,0.4109071403608243,0.5258814599634538,0.3314994942174193,0.7202634257094882,0.1394593503765208
19,Optimist,Optimist,assigned rule,14,0.7857142857142857,0.8011200801483715,0.6720825042264269,0.7076491776856513,0.12903757592194465,0.4123561486563027,0.552817578533518,0.552817578533518,0.09347090246272027
20,Optimist,Optimist,assigned rule,14,0.6428571428571429,0.9918107815595227,0.885368934721776,0.8948978955666946,0.10644184683774671,0.1579666697266383,0.9918107815595227,0.7974288158134883,0.0969128859928281
23,Optimist,Optimist,assigned rule,14,0.7142857142857143,0.9146453914555226,0.6205576813375353,0.796585784673975,0.2940877101179873,0.4719609240946346,0.5258814599634538,0.3314994942174193,0.11805960678154759
24,Pessimist,Pessimist,assigned rule,14,0.7857142857142857,0.8011200801483715,0.4777005384803925,0.5316210743492117,0.32341954166797904,0.20844522206534966,0.1640536470414491,0.35843561278748354,0.26949900579915986
25,Optimist,Optimist,assigned rule,14,0.8571428571428571,0.6431976014712191,0.4777005384803925,0.5926748580830219,0.16549706299082656,0.25443366997915023,0.25443366997915023,0.4488156357251847,0.05052274338819718
27,Optimist,Optimist,assigned rule,13,0.8461538461538461,0.6748704654821854,0.47673711869634094,0.5348053880935308,0.1981333467858445,0.4655360408326099,0.6748704654821854,0.4655360408326099,0.1400650773886546
28,Trustful,Trustful,assigned rule,14,0.9285714285714286,0.4227571495297672,0.3473612121800553,0.36213307614580376,0.0753959373497119,0.4227571495297672,0.22837518378373275,0.4227571495297672,0.06062407338396342
29,Optimist,Optimist,assigned rule,14,0.6428571428571429,0.9918107815595227,0.7610191112147506,0.9299139666861991,0.2307916703447721,0.46018970721031105,0.40866488432141945,0.7435082799446692,0.06189681487332366
30,Envious,Envious,assigned rule,14,0.9285714285714286,0.4227571495297672,0.19438196574603442,0.19438196574603442,0.22837518378373275,0.17445464791491358,0.22837518378373275,0.22837518378373275,0.22837518378373275
31,Pessimist,Pessimist,assigned rule,14,0.7857142857142857,0.8011200801483715,0.2483025016148536,0.8409773596978755,0.552817578533518,0.8011200801483715,0.4917637947997077,0.6067381144023372,-0.03985727954950391
32,Trustful,Trustful,assigned rule,17,0.8235294117647058,0.7147270241606074,0.16007926590849894,0.5266158850127001,0.5546477582521084,0.3057581979714367,0.3501633451575231,0.7147270241606074,0.18811113914790734
33,Pessimist,Pessimist,assigned rule,17,0.8235294117647058,0.7147270241606074,0.20448441309458534,0.43780559064052726,0.5102426110660221,0.5102426110660221,0.32132658070616654,0.5546477582521084,0.27692143352008014
34,Optimist,Optimist,assigned rule,17,0.8235294117647058,0.7147270241606074,0.4822107378266137,0.532490324430928,0.23251628633399368,0.3501633451575231,0.3501633451575231,0.3945684923436095,0.18223669972967937
35,Pessimist,Pessimist,assigned rule,17,0.8235294117647058,0.7147270241606074,0.6925695903394269,0.7238677653770433,0.022157433821180517,0.27692143352008014,0.5102426110660221,0.43700069942857905,-0.009140741216435933
37,Pessimist,Pessimist,assigned rule,17,0.7058823529411765,0.9164132552123273,0.8160910885811843,0.8146509998503331,0.10032216663114302,0.14288075002007228,0.3473651631146577,0.39177031030074405,0.10176225536199424
38,Envious,Envious,assigned rule,17,0.8823529411764706,0.5649915816219103,0.3201585318169979,0.47633629840838576,0.24483304980491244,0.12718599098138306,0.360507168527325,0.24483304980491244,0.08865528321352456
40,Pessimist,Pessimist,assigned rule,17,0.7058823529411765,0.9164132552123273,0.9414591506200987,0.9361995579909734,-0.025045895407771357,0.11404398556871576,0.5074444290231566,0.551849576209243,-0.019786302778646125
41,Pessimist,Pessimist,assigned rule,17,0.7058823529411765,0.9164132552123273,0.6925695903394269,0.7540626231404142,0.22384366487290042,0.34149072369642974,0.1584491327548021,0.551849576209243,0.16235063207191314
42,Pessimist,Pessimist,assigned rule,17,0.7058823529411765,0.9164132552123273,0.8775841213821713,0.8775841213821713,0.03882913383015596,0.1584491327548021,0.39177031030074405,0.39177031030074405,0.03882913383015596
43,Envious,Envious,assigned rule,17,0.8823529411764706,0.5649915816219103,0.44614144064501504,0.44614144064501504,0.11885014097689528,0.360507168527325,0.20042790261882604,0.24483304980491244,0.11885014097689528
45,Trustful,Trustful,assigned rule,17,0.7058823529411765,0.9164132552123273,0.6637328258880704,0.8102166491629563,0.25268042932425694,0.5962547233953295,0.39177031030074405,0.9164132552123273,0.10619660604937098
47,Optimist,Optimist,assigned rule,16,0.8125,0.7412964801529259,0.5880721911981235,0.6886747208504242,0.15322428895480245,0.23104382006958557,0.3067671023269321,0.5712122601251458,0.05262175930250168
48,Pessimist,Pessimist,assigned rule,16,0.8125,0.7412964801529259,0.46516844005556024,0.6119506616553585,0.2761280400973657,0.19830850898258257,0.2761280400973657,0.4011280400973657,0.12934581849756743
49,Trustful,Trustful,assigned rule,16,0.6875,0.9411224525623375,0.8525173489963372,0.8852526600833402,0.08860510356600027,0.2752307302494308,0.5065930747363436,0.7238577636493406,0.05586979247899726
51,Trustful,Trustful,assigned rule,16,0.6875,0.9411224525623375,0.932433128968557,0.9656874399460245,0.008689323593780496,0.33441260585112687,0.7238577636493406,-0.05084005423221338,-0.024564987383686954
52,Trustful,Trustful,assigned rule,16,0.625,0.9995182229527452,0.46516844005556024,0.5061073170589098,0.5343497828971849,0.44208509398418805,0.3477241562137544,0.6121693140119682,0.4934109058938354
53,Pessimist,Pessimist,assigned rule,16,0.8125,0.7412964801529259,0.3894451577982137,0.5927836888034612,0.3518513223547122,0.5712122601251458,0.524031791239929,0.4462122601251458,0.1485127913494647
54,Envious,Envious,assigned rule,16,0.875,0.5886486632273765,0.2888426281459129,0.5595293778259938,0.29980603508146364,0.37138397431437964,0.24848022317181628,0.37138397431437964,0.029119285401382755
56,Pessimist,Pessimist,assigned rule,16,0.75,0.856362344486913,0.6352526600833404,0.7240252806853285,0.2211096844035726,0.1676876236364887,0.6390976555739161,0.6862781244591328,0.1323370638015845
57,Optimist,Optimist,assigned rule,16,0.875,0.5886486632273765,0.5185905008226441,0.5413734993601617,0.0700581624047324,0.29980603508146364,0.1706606920570331,0.37138397431437964,0.047275163867214864
58,Undefined,Envious,best-fit rule (Undefined),16,0.8125,0.7412964801529259,0.34850628079486407,0.34850628079486407,0.39279019935806186,0.2823696319792329,0.5712122601251458,0.524031791239929,0.39279019935806186
60,Optimist,Optimist,assigned rule,16,0.75,0.856362344486913,0.5990252806853285,0.7691095007131086,0.2573370638015845,0.5161939044313527,0.5078560636920488,0.856362344486913,0.08725284377380438
61,Trustful,Trustful,assigned rule,16,0.625,0.9995182229527452,0.7358551897356411,0.914277250502725,0.26366303321710405,0.5649888451267513,0.3642655628694048,0.3949046250989713,0.08524097245002016
62,Envious,Envious,assigned rule,14,0.8571428571428571,0.6431976014712191,0.2483025016148536,0.5316210743492117,0.3948950998563655,0.20051313411033106,0.16549706299082656,0.6431976014712191,0.11157652712200739
63,Pessimist,Pessimist,assigned rule,14,0.5714285714285714,1.036752958923143,1.0632421486984234,1.0656378616783508,-0.026489189775280364,0.25682938295907776,0.39968652581622055,0.3457659899474014,-0.02888490275520783
66,Trustful,Trustful,assigned rule,12,0.5,1.0601122933703735,0.691454001096859,1.0440475448278104,0.36865829227351454,0.8333333333333334,0.5436470814493375,0.2539608295653416,0.016064748542563123
67,Trustful,Trustful,assigned rule,14,0.9285714285714286,0.4227571495297672,0.19438196574603442,0.19438196574603442,0.22837518378373275,0.22837518378373275,0.22837518378373275,0.4227571495297672,0.22837518378373275
69,Envious,Envious,assigned rule,14,0.8571428571428571,0.6431976014712191,0.5316210743492117,0.5666371454687161,0.11157652712200739,0.08553881450770162,0.4488156357251847,0.3948950998563655,0.07656045600250294
71,Envious,Envious,assigned rule,15,0.8666666666666667,0.6145993412492041,0.37174003284785495,0.37174003284785495,0.24285930840134917,0.38285033974200744,0.433176173219572,0.20142717171237529,0.24285930840134917
72,Undefined,Trustful,best-fit rule (Undefined),15,0.7333333333333333,0.884730576637466,0.41540816831809463,0.45087943336072656,0.4693224083193714,0.15680190573767172,0.5699740752745006,0.6529815751302693,0.43385114327673946
73,Trustful,Trustful,assigned rule,15,0.8,0.7700179295836611,0.5204815344992829,0.6228553047186058,0.2495363950843782,0.40717159352439686,0.3065199265692677,0.588594761554029,0.14716262486505527
74,Envious,Envious,assigned rule,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Trustful,Trustful,assigned rule,15,0.5333333333333333,1.0448814666779354,0.8285803378549235,0.8640516028975553,0.2163011288230119,0.5990276307629023,0.36727862925570565,0.500611962589039,0.18082986378038002
